Lens ID,Title,Publication Year,Abstract,Keywords,MeSH Terms
105-589-529-455-550,Development and Validation of Physical Environment Checklist for Young Children with Physical Disabilities in Inclusive Settings,2020,,,
105-612-792-736-299,Research Guides: Early Childhood Education: Inclusion Resources,2011,"Resources for everyone who works with and cares for young children. Early childhood educators, this is your list! These books are representative of many resources to help early childhood educators plan inclusive programs and activities to promote the participation of children with disabilities into integrated early learning settings.",,
106-045-681-767-349,Teacher Effectiveness in Identifying High-Risk Kindergarten Children:,1979,,,
106-075-399-239-97X,Special Educational Needs and Disabilities in Early Childhood Education (England),2019,,,
106-399-282-393-501,Toward Developing and Validating a Measure to Appraise Progress Monitoring Ability,2024,"<jats:p>The provision of progress monitoring within publicly funded early childhood classrooms is legally required, supported by empirical research, and recommended by early childhood professional organizations, for teachers providing Part B services under the Individuals with Disabilities Education Act. Despite the widespread recognition of progress monitoring as an essential tool to support child development in early childhood classrooms, clear guidance on what constitutes high-quality progress monitoring is unclear. Therefore, we sought to develop and validate a new teacher quality measure specific to progress monitoring. Such a measure may assist school districts and early childhood programs in understanding the ability of their teachers for engaging in progress monitoring and supporting children with or at risk for disability or delay. Rasch analyses suggest that additional items of greater difficulty are needed within the measure, prior to public release (osf.io/28bz6/).</jats:p>",,
106-439-488-985-477,Early Years teachers' knowledge and perceptions about autism in Greece,2025,"<jats:title>Abstract</jats:title>;                   <jats:p>The purpose of this study was to explore Early Years (EY) teachers' knowledge and perceptions about autism in Greece. An online questionnaire was completed by 276 respondents with experience in teaching children from 0 to 6 years old. The findings showed that EY teachers in Greece are aware of the main difficulties people with autism are likely to face, while occupational and speech and language therapy, together with interventions by psychologists, are reported as the most popular approaches in autism. However, most of the respondents stated that they have limited knowledge of autism overall and how to specifically teach an autistic child in the classroom, as well as that they are in desperate need of relevant training. Finally, EY teachers in Greece seem to strongly support mainstream education for pupils with autism.</jats:p>",,
106-556-980-248-404,The Effect of Early Intervention on the Development of Infants and Toddlers with Disabilities and the Empowering of Parents and Early Intervention Practitioners,2018,,,
107-144-931-637-249,Design and validation of a programme to improve attitudes towards disability in early childhood education,2024,"In order to achieve effective educational inclusion, positive attitudes towards disability among peers are essential. However, many studies have found a negative disposition towards this group (Álvarez Citation2020; Wang and Qi Citation2020; Werner, Peretz, and Roth Citation2015). Therefore, it is important to have specific programmes that help us to improve disability awareness. However, despite the relevance of the Early Childhood Education stage, no validated programmes with this objective have been found in Spain. For this reason, the PROCREADI programme has been designed. Programme for Growing up with Positive Attitudes towards Disability in Early Childhood Education [author(s)] has been designed and validated through a pilot study with a sample of 28 Infant Education students. The results show a notable improvement in attitudes and in the knowledge of the concept of disability in this experimental group. Therefore, it can be concluded that the proposed programme is a useful tool to promote greater knowledge and more positive attitudes towards people with disabilities among preschool students.",,
107-177-441-843-454,PARENT-IMPLEMENTED COMMUNICATION INTERVENTION FOR PRESCHOOL-AGED CHILDREN WITH AUTISM,,,,
107-261-274-370-582,"The social experience of early childhood for children with learning disabilities : inclusion, competence and agency",2010,"This paper tells of the social experiences of three four-year-old children with learning disabilities as they negotiate their daily lives in their homes and early education settings in England. We apply a social model of childhood disability to the relatively unexplored territory of young children and use vignettes drawn from video observation to explore the interactive spaces contained in settings with different cultures of inclusion. Using a multimodal approach to the data we show the nuanced ways in which the children enact their agency. We explore the relationships between agency, culture and structure, and argue that children with learning disabilities are active in making meaning within social and relational networks to which they contribute differently depending on the barriers to doing and being that each network presents. Thus, the paper provides an original use of the notion of distributed competence.",,
107-334-070-756-541,Construct validation of the Enabling Practices Scale,2016,"ABSTRACTBackground Empowerment is regarded as an important outcome in service provision to families of individuals with disability. Nevertheless, data on psychometric characteristics of measures related to empowerment are often inadequate, and limited data are available on the Enabling Practices Scale (EPS).Method The EPS was completed by 128 families enrolled in a support program for children with disability in childcare centres.Results Confirmatory factor analysis failed to affirm the original factor structure of the EPS. Subsequent exploratory factor analysis suggested an alternative 3-factor structure (Comfort and Reciprocity, Autonomy, and Support). Internal consistency of these factors was acceptable to high.Conclusions The EPS is a potentially useful instrument to evaluate service practices that may be related to family empowerment, but further examination of its psychometric characteristics is suggested.",,
107-632-324-959-265,Current Status and Support Needs of Including Preschoolers with Disabilities: A Preliminary Study of Developing Preschool Inclusion Model,2019,,,
108-240-192-681-858,Analysis of the Use of Public Library Services and Related Needs for People with Developmental Disabilities by Age Group,2020,,,
108-244-808-390-345,기관장의 장애유아 통합교육에 대한 태도,2000,"The purpose of this study is to investigate what attitude, toward the inclusive education of the children with disabilities, is taken by the heads of educational facilities which include preschools, such as public schools, special schools, and kindergartens or early childhood intervention centers. The subjects of the study are every 50 heads of the educational facilities which include preschools, and as the methods of the study, the questionnaires are used. The result of the study are as follows: First, in the rate of the understanding of inclusive education in general, that of the heads of the special schools is highest and is followed by that of the heads of kindergartens or early childhood intervention centers, and public schools. Second, in the rate of the understanding of the inclusive education on the interest in the special education, that of the heads of the special schools is relatively higher than that of the others. Third, about the effect of the inclusive education on both the general and young children with disabilities, the answers of the heads of kindergartens or early childhood intervention centers are most positive, followed by those of the heads of special schools and public schools. Fourth, about the effective way of the inclusive education, each head of the facilities takes very positive attitude. Fifth, the heads of the facilities think that the merits of the inclusive education are to form the positive thought on the young children with disabilities, to increase the children's adaptability to the world, to inspire the thought of living together, and to respect the individual's character, and that the demerits are the alienation of children from lack of consideration on both the general children and children with disabilities, lack of facilities and professionally qualified teachers, and the parent's biased views. Based on this research and its results, for the research of early inclusive education, I propose as follows: First, It will be helpful to the effort on the forward inclusive education to think the effective way of the inclusive education with the heads of the facilities experienced in the inclusive education as the central figures. Second, because the contents of the questionnaires used in this research are fragmentary and limited, it may be needed to study the inclusive education with the questionnaires including a wide and profound range of questions.",,
108-731-922-597-292,Extra-Ordinary Siblings: The Early Life Course Consequences of having a Sibling with a Disability,2019,"Author(s): Penner, Anna | Advisor(s): Treas, Judith | Abstract: Twelve percent of families in the United States have a child with a disability, yet little is known about the long-term consequences of growing up with a sibling with a disability. This study builds on previous research regarding disability effects on families and offers an additional view on sibling effects in general. By utilizing the life course perspective, this dissertation examines the linked lives of siblings with and without disabilities as well as the association between having a disabled sibling in childhood across early life course outcomes. Within the life course context, this dissertation examines how family stress theory, adultification, and resource dilution interact with sibling disability status to yield the results.Using secondary data from the National Longitudinal Survey of Youth 1979 Children and Young Adults, this study examines behavioral problems during childhood, risk behaviors during adolescence and early adulthood, and college completion rates among young adults who had a disabled sibling during childhood. Both boys and girls with a disabled sibling have higher reports of behavioral problems in childhood than those without a disabled sibling. Both boys and girls with a disabled sibling exhibit more externalizing behaviors than those without, particularly antisocial behaviors. Furthermore, girls with a disabled sibling also exhibit more anxiety, peer conflict, and headstrong behaviors than girls without a disabled sibling. These behavioral problems do not persist into adolescence, however, and young men and women with a disabled sibling see similar or lower rates of risk behaviors as those without a disabled sibling. Adultification appears to contribute to the lower likelihood of risk behaviors particularly in adolescence. Women are less likely to complete college if they had a sibling with a disability during childhood; there is no significant difference by sibling disability status for men. While family income and mother’s education do not attenuate the college completion gap between those with and without a disabled sibling, having stably married parents during childhood largely eliminates this gap.By identifying these differences, this dissertation reveals how disabilities have consequences not just for the individuals with disabilities, but for their siblings as well, shining a light on this otherwise hidden cost of disability on families.",,
108-830-773-971-765,"Rural Young Children with Disabilities: Education, Challenges, and Opportunities",2020,"The plight of young children with disabilities who live in rural communities remains unsolved issue in many developing countries. Culturally, many people have negative beliefs regarding the causes of disabilities. Disability may be associated with punishment by gods, ancestral spirits resulting from mother’s promiscuity during pregnancy, witchcraft, or evil spirits. This article focuses on challenges and opportunities of young children with disabilities who live in the rural communities of Eswatini and Zimbabwe, and related to accessing early childhood development (ECD) education services. Lessons drawn between the two countries reveal that in Eswatini, the Disability Unit which caters for disability issues is under the Social Welfare Department and is accommodated in the Deputy Prime Minister’s Office. In Zimbabwe, Chikwature, Oyedele and Ntini (2016) noted that an inclusive education policy is still yet to be drafted. Disability issues are still not fully represented constitutionally. Using the social exclusion theory enabled the researcher to determine how deeply rooted social exclusion is in the attitudes of teachers and rural communities. Using interviews and focus group discussions, 30 parents/caregivers for children with disabilities, aged 4 to 5 years, were purposively sampled for study. Results showed that the failure of these children to access ECD services in the community impacts negatively on their holistic development. Most children with disabilities who grow up in an environment and society characterized by negative attitudes and beliefs, and prejudice about disabilities are bound to imitate and perpetuate these attitudes, hence, intervention is critical. The study recommends that there should be unity of parents/caregivers, communities including schools and international forums, to garner much support to assist children with disabilities.",,
108-919-155-955-339,A National Early Childhood Special Education Leadership Summit,2014,"On October 16, 2013 a national, early childhood special education leadership summit was held in San Francisco, CA at DEC's 29th Annual International Conference on Young Children with Disabilities and Their Families. The summit format was a facilitated, focus group discussion in which participants shared their perceptions of what is needed to build and preserve the field’s leadership capital. There were 18 participants who were nominated as leaders in the field and represented researchers, faculty, program administrators, teachers, other personnel, and families of children who have received special education services. This draft report summarizes the background and rationale, methods, preliminary findings, and recommended actions.",,
108-970-285-215-471,The Effects of Educational Games on EFL Vocabulary Learning of Early Childhood Students with Learning Disabilities: A Systematic Review and Meta-analysis,2021,"<jats:p>Educational games play an essential role in the life of the new generation. Although there are many criticisms, many studies focus on the importance of educational games in improving EFL vocabulary learning of early childhood students with learning disabilities in the target language. Researchers have begun to research how games are used in class to enhance vocabulary learning. This paper investigates the effects of educational games on EFL vocabulary learning of early childhood students with learning disabilities based on a literature review. Many studies focus on educational games' effect on various aspects of education. This concept paper aims to shed light on some of the benefits of games and the challenges teachers and early childhood children face in using educational games. This paper's results show that games are used not only for the success of early childhood students with learning disabilities in EFL classes but, more importantly, to motivate them and increase cooperation between children. Additionally, the results indicate that there are advantages and disadvantages of using games to learn English vocabulary.</jats:p>",Educational games; EFL vocabulary learning; Elementary school students with learning disabilities; A systematic review meta-analysis,
109-473-195-998-213,Turning 5: Helping Families of Preschoolers with Disabilities Navigate the Transition to Kindergarten in New York City.,2016,"27 Randi Levine is project director of early childhood education at Advocates for Children of New York. The Turning 5 work group – a collaboration between Advocates for Children of New York, the New York City Department of Education, and other partner organizations – provides support to families of students with disabilities facing the challenges of transitioning to kindergarten. Turning 5: Helping Families of Preschoolers with Disabilities Navigate the Transition to Kindergarten in New York City",,
109-624-423-216-080,"Early Childhood Special Education for Children with Disabilities, Ages Three through Five: Program Evaluation.",1999,"This document presents guidelines for evaluation of early childhood special education programs in North Dakota. Following an introduction, a section considers six general program goals including the significance of families, the need for developmentally appropriate and individually appropriate practice, preference for service delivery in community-based inclusive settings, collaborative teams, coordinated delivery of services, and the importance of culturally competent professional actions. The following sections offer guidelines on evaluating programs for family involvement, effective Child Find activities, effective programs and service delivery models, effectively integrated programs and environments, effective and safe physical environments, and effective administration including personnel and interagency collaboration. Appended are several survey forms that examine the perceptions of the early childhood programs of preschool staff, principals, general education teachers, and parents. (DB) Reproductions supplied by EDRS are the best that can be made from the original document. Early Childhood Special Education for Children with Disabilities, Ages Three through Five: Program Evaluation U.S, DEPARTMENT OF EDUCATION Office of Educational Research and Improvement EDUCATIONAL RESOURCES INFORMATION CENTER (ERIC) This document has been reproduced as received from the person or organization originating it. Minor changes have been made to improve reproduction quality. Points of view or opinions stated in this document do not necessarily represent official OERI position or policy.",,
109-826-952-521-756,Early Childhood Teachers' Experiences regarding the Inclusive Education in Private Kindergartens,2011,,,
110-451-344-171-091,Uncovering cultural regularities underpinning the pedagogy of learners with disabilities,2026,"<jats:p>Background: Fear of disability tends to influence teachers’ pedagogical practices in early childhood education in Ghana. Deeply rooted in socio-cultural beliefs, this fear hinders inclusive education and perpetuates exclusionary practices.; Aim: This article explores the fear of disability within Ghanaian early childhood education, as an instance of Ghanaian and West African cultural practices manifesting in and through teachers’ classroom activities, which constrain the effective learning and development of learners with disabilities.; Setting: The research was conducted with teachers from seven early childhood education centres in Accra, Ghana.; Method: We applied focus group interviews, integrating a local conversational approach to enhance the effectiveness of our Vygotsky-inspired authentic questioning method. Using an approach that embodies respect, mutual acknowledgement, and affirmation of each other’s humanity, the first author was able to uncover the profound cultural meanings of the teachers’ practices, which would otherwise have been difficult to reveal through a rigid application of formal methods.; Results: The findings promote cultural contingency of methods as tools for uncovering the dynamic structure of cultural processes, such as fear of disability, that underpin complex social practices of the pedagogy of learners with disabilities.; Conclusion: The article provides an analysis of the data and the process through which data was produced, leading to the uncovering of the underlying culturally situated regulatory processes vis-à-vis the teachers’ relationship with learners with disabilities.; Contribution: The paper contributes to the application of informal methods of inquiry, informed by both theory and practice in cultural psychology and education.</jats:p>",,
110-490-232-317-166,"To Include or not to Include: Early Childhood Preservice Educators' Beliefs, Attitudes, and Knowledge about Students with Disabilities",2000,"The first purpose of this study was to develop and validate the Inventory of Opinions About Persons with Disabilities (IOPD). The IOPD was developed to collect preservice early childhood educatorsself-report data related to inclusion. A total of 332 participants enrolled in graduate programs in a college of education served as the validation sample. After validation and revision of the IOPD, the researcher used the instrument to investigate preservice early childhood educators beliefs, attitudes, and knowledge about students with disabilities and their inclusion in general education classrooms. Data were collected from 172 participants from 10 universities in Texas during their student teaching/final intern semesters. This research demonstrated that an instrument, the IOPD, could be developed to effectively measure preservice early childhood educators beliefs, attitudes, and knowledge about the inclusion of children with disabilities in their classrooms. The participants reported positive self-perceptions (mean = 2.0388) about their beliefs and attitudes toward inclusion. However, the participants reported less positive attitudes about training (mean = -.09884). Discriminant function analyses indicated a negligible statistical effect for type of program (professional development school or traditional) and a statistically significant effect for preferred classroom setting (non-inclusive, special education, inclusive). Further research with the same participants or similar cohorts at one and three years of inservice teaching could broaden the scope of knowledge regarding early childhood teachers opinions about inclusion and students with disabilities. In addition, including procedures for gathering qualitative data with the Inventory of Opinions About Persons With Disabilities might provide more specific information about individual beliefs, attitudes, and knowledge about inclusion.",,
110-686-396-149-087,Availability of Instructional Resources in Enhancing Social Skills of Learners with Mild Intellectual Disability in Primary Schools' Units in Siaya County,2025,"<jats:p>The purpose of this study was to assess availability of instructional resources in enhancing the social skills of learners with mild intellectual disabilities in Primary Schools’ units in Siaya County. Most learners with mild ID lack social skills, this is exhibited by challenges they face in the community. The study was premised on Vygotsky’s social development theory in its theoretical framework.  In the study a mixed method approach with a focus on both qualitative and quantitative aspects was employed. The sample size constituted 10% of 24 schools, the total population of schools serving learners with mild intellectual disability. A total of 189 respondents from the research location made up the target population of the study comprised of (137) learners with intellectual disabilities who participated in the study, (12) head teachers were interviewed, 12 deputy headteachers and 29 teachers who completed the questionnaires. The researcher used purposive random sampling to select special units in public primary schools for learners with ID to take part in the study. The main research instruments, which were used, included open-ended questionnaires, interview guides and observation checklists. Validity was ensured through expert consultation from supervisors. Triangulation, piloting and test retest was adopted to increase reliability of qualitative data. After two weeks, the researcher picked up the completed surveys that were given to target schools. In Siaya county, one special unit for learners with intellectual disabilities served as the pilot site. Qualitative data collected was analyzed thematically and presented in narrative form quantitative data was analyzed by use of computer program, the statistical package for social science (SPSS) software version 22 data was presented using descriptive statistic and presented in tables, graphs and charts. Quantitative data was gathered and analyzed thematically and given in a narrative form. From the study findings, it was indicated that the teachers were equipped with knowledge to teach social skills to learners with mild intellectual disability The study established that there is need for the availability of instructional resources to maintain learners’ attention, enhanced home practice by learners, increase the frequency of trainings, involve parents and significant others in the training programs, and recommends investment in adaptive technologies, improved teacher training, and partnerships between schools, NGOs, and government agencies.</jats:p>",,
110-716-962-248-755,Attitudes about Inclusion: Through the Lens of Practitioners and Novices,2013,,early childhood; special education; teacher attitudes; inclusion,
111-057-587-999-046,Criterion of the Next Environment and Best Practices: Mainstreaming and Integration 10 Years Later,1990,"Origins of the criterion of the next environment (CNE) are examined as a basis for reevaluating its continued applicability to the field of early childhood special education, particularly as it relates to mainstreaming and integration of young children with disabilities. Particular attention is given to changes in public kindergarten classrooms and the relationship of these changes to CNE. Current positions are made explicit, particularly the commitment to integrated education for all students with disabilities, collaborative partnerships, and the need for instructional supports. Implications of CNE for the 1990s are discussed.",,
111-095-402-113-18X,Inclusion of Children with Intellectual Disability in Early Childhood Education in Saudi Arabia: Impact of Teacher Characteristics,2023,"<jats:p>Background: The practice of inclusive education in mainstream classrooms has gained momentum worldwide in recent years. This situation has attracted the interest of researchers in equal measures, with the main focus being directed at the impact of teacher attitudes toward inclusive education. The previous studies have mainly focused on inclusive education in primary and secondary education environments in the Western world while paying no attention to early childhood education in developing countries like Saudi Arabia.&#x0D;; Aim: This study fills this knowledge gap by investigating the impact of teacher characteristics on the attitudes toward the inclusion of children with intellectual disabilities in early childhood education in Saudi Arabia.&#x0D;; Methods: Data were collected through a web-based survey. Statistical analysis was conducted using SPSS to generate descriptive statistics and correlations.&#x0D;; Results: There were statistically significant relationships between acceptance of inclusion of learners with IDs and all the independent variables; age (p=0.000), gender (p=0.021), training (p=0.000), professional role (p=0.015), knowledge (p=0.000) and experience (p=0.000).&#x0D;; Conclusion and Recommendations: Early childhood education teachers in Saudi Arabia should receive training on special needs to attain knowledge and experiences in dealing with learners with IDs in inclusive environments.</jats:p>",,
111-239-904-841-021,Considerations in the Personnel Preparation of Itinerant Early Childhood Special Education Consultants,2004,"Based on changes in the delivery of early childhood special education (ECSE) services, an argument is made for including content related to the purposes and models of consultation as well as collaborative process skills in personnel preparation programs for early childhood special educators. The content of current personnel preparation programs for early childhood special educators is described and suggestions for additional content to develop skills necessary to support young children with disabilities in inclusive settings are offered. Finally, questions are identified that will inform the development of personnel preparation programs to address the skills needed by itinerant ECSE consultants.",,
111-551-569-653-643,The Actual Condition of Safety Education for Children with Disabilities and Awareness of Early Childhood Teachers,2025,"<jats:p>Purpose: This study aims to identify the current status and awareness of safety education for children with disabilities among early childhood teachers working in children’s homes for children with disabilities and to use these data as a basis for supporting safety education for children with disabilities. Methods: A survey was conducted among 200 early childhood teachers working in integrated and specialized children’s centers for children with disabilities in Busan, Ulsan, and Gyeongnam, with 161 completed questionnaires analyzed using SPSS Ver. 24. Results: Early childhood teachers lacked a customized approach that considered the characteristics of each disability, relying on uniform audio-visual education for large groups. They perceived that safety education quality should improve through case training, experiential education programs, and support from institutions, parents, communities, and the government. Conclusion: By identifying the current status of safety education for children with disabilities and the challenges faced by early childhood teachers, this study suggests that systematic support is needed to equalize safety education levels and provide consistent education for all children with disabilities.</jats:p>",,
111-745-634-472-423,Taking Stock and Moving Forward: Implementing Quality Early Childhood Inclusive Practices,2016,"The long-standing and widespread support for the concept of inclusion of young children with disabilities is manifested in decades of legislation and policy, strongly held professional and family values, and a large body of research (Early childhood inclusion: Focus on change. Baltimore, MD, 2001). In spite of that support, children across the country have uneven opportunities to experience high quality inclusion in natural environments and regular education settings. Data suggests that progress has stalled in implementing the concept in a consistent and sustainable way (Odom, Buysse, & Soukakou, Journal of Early Intervention, 33, 344–356, 2011). To address the current issues related to early childhood preschool inclusion, this chapter begins with a description of this history and current context of inclusive practices within early childhood special education (ECSE). A description of the current implementation of inclusion follows. An approach to addressing the current concerns about early childhood inclusion, using an implementation science framework, identifies the inclusive practices with the strongest evidence, the implementation drivers or levers for change in increasing likelihood that those practices are implemented, and an action agenda for improving the likelihood that young children with disabilities experience high quality inclusion.",,
111-776-550-964-246,An exploration of the diversity of self‐help and help‐seeking practices for communication disability in Ghana and Fiji,2016,,,
112-442-912-437-504,Individuals with Disabilities Education Act (IDEA),2011,,,
112-633-562-019-418,Early Intervention Programs in Korea for Children with Disabilities,1999,"A national survey of 53 early childhood special education teachers in Korea was conducted to investigate their knowledge and perceptions regarding various aspects of kindergarten and preschool programs for children with disabilities. Results from the study indicated that (a) children in the age range of 3 to 7 years were the group most frequently served by early childhood special education in Korea, (b) teachers reported infrequent assessment and scarcity of curriculum resources, (c) most teachers reported using a self- or school-developed curriculum, and (d) confusion exists regarding the concept and use of the Individualised Education Program (IEP). Because of a somewhat lower than expected teacher response rate further study is needed to determine if the results of this study are representative of programs nationally. Also, evaluative steps should be taken to ensure that curricula are appropriate for the various ages and types of learners. Likewise, research is needed to identify those factors that fac...",,
112-718-377-366-824,Prevención en Educación Infantil: estudio de las actitudes hacia la discapacidad de docentes,2019,"According to Delors (1996), one of the basic pillars for the education of the 21st century is “learning to live together”. This involves not only assess the tremendous diversity that exists today in our classrooms, but also, to respond to this diversity, including persons with disabilities. In this sense, one of the most determining factors to carry out inclusive education is the attitude of the teacher. Specifically, we have focused on early childhood education teachers, due to the compensator and preventive nature of inequalities that has this stage.For this reason, we have analyzed the attitudes of different teachers of early childhood education with specific instruments for this purpose, with recognized prestige in the theme. Thus, it was found that, in general, the teachers showed positive attitudes towards persons with disabilities, but which, in particular, the teachers who taught teaching in the second cycle. Finally, we discuss the results, and are designated future perspectives for the study",attitudes; disabilities; teachers; early childhood education,
112-853-474-220-36X,Early Childhood Education and Care for Children with Disabilities: Facilitating Inclusive Practice*,2007,"In this case study, a co-operative inquiry process was used to facilitate the expansion of inclusive early childhood education and care practices in a rural community in the Midwest. A university and a community researcher first engaged in interviews and site visits, during which they learned how a three-member inclusion team of early care and education professionals initiated changes in practice from self-contained to inclusive special education and therapy. Key practices included responding to families’ priorities, changing roles, and providing integrated services and support for children’s successful transitions into Kindergarten. The second part of the research consisted of action planning during focus groups and community meetings, which resulted in social recognition from the school district, technical assistance through state improvement grant funding, and better preschool options for young children with disabilities.",,
112-995-334-252-62X,Children's Perspectives on the Roles of Teachers and Therapists in Inclusive Early Childhood Programs.,2000,"In the United States, slightly more than half of young children with disabilities are enrolled in community-based early education programs with their typically developing peers. When this occurs, individualized intervention programs are often provided in the child's classroom with other children present. This study examined typically developing children's different ideas about the roles of the teachers, interventionists and therapists in inclusive early childhood programs. While most children knew their teachers by name, they were less likely to know the names of some of the therapists. Children described teachers' primary roles as teaching and taking care of children, while therapists were most often described as providing special services for a few children. Differences in children's descriptions of the adults' roles were related to the ways in which interventions were provided in the classroom. Implications of these findings for including children with disabilities in early childhood programs are discu...",,
113-103-321-569-257,"Children’s spirituality and inclusion: strengthening a child’s spirit with community, resilience and joy",2015,"The vision of inclusion speaks to the minds, hearts and spirits of children with disabilities. A meaningful inclusive atmosphere exists when children with and without disabilities are physically engaged and interact with one another as a community in a variety of activities. Spirituality for children with disabilities within an inclusive early childhood classroom requires an education that is intellectual, emotional, social, moral and spiritual. In this type of environment, children with disabilities and peers can flourish in a warm and welcoming community. This paper contributes to the literature and asserts the importance of the ‘forgotten’ dimension of early childhood special education. Learning strategies to inform teachers and parents for establishing an inclusive welcoming classroom for children with disabilities are offered by exploring a spiritual curriculum emphasising holistic education with peers through strengths-based projects, small group work and peer-mediated interventions for supporting t...",,
114-117-718-668-476,Understanding Inclusive Early Childhood Education: A Capability Approach,2023,"<jats:p>&lt;p&gt;This article explores the application of current discourse in inclusive education, particularly the capability approach and its utility in early childhood education. The article highlights the tensions between a rights-based discourse that informs inclusive education practice and the right for children to have early intervention. Structural approaches to supporting children with disabilities are examined. These structural approaches are evaluated using the framework developed using the capability approach. The article aims to ease some of the tensions that arise from differing philosophical approaches to education for young children, and to provide a framework for addressing the developmental and social needs of young children with disabilities.&lt;/p&gt;</jats:p>",,
114-710-044-425-394,Enhancing the Quality of Early Childhood Care and Education Globally,2015,"Access to high-quality early childhood care and education (ECCE) services is important to children's well-being and later school success, particularly for children with disabilities who require spe...",,
114-711-101-007-696,Teachers' perception of the response to intervention implementation feasibility in Chinese inclusive early childhood education.,2019,This exploratory study examined Chinese teachers’ perceptions of the practical uses of Response to Intervention (RTI) in preschool inclusive education settings. A survey and follow-up interviews we...,RTI model; children with special needs; preschool inclusive education,
114-946-612-096-738,An Analysis of Consulting-Related Studies in the Early Childhood Setting for Children with Disabilities,2020,,,
114-998-914-819-991,"Diversity And Disability In Visual Arts, Children'S Literature, Play And Creative Writing: An Educational Program For Children In Early Childhood Education In A Non-Formal Educational Setting",2018,"This article presents an applied educational program for early years children with three thematic objectives, i.e. empathy, disabilities and visual arts. The program took place in Children’s Museum of Thessaloniki and focused on the reflection between the text and image generally. The participants were twenty children from 4 – 8 years old, as the program was designed for early childhood education students. The program was theoretically based on the principals of Social Pedagogy, the methods and the techniques which were considered appropriate, were related to experiential activities, use of artworks and creative writing. The artworks that were used in the program originate from Greek visual arts of the 19th and 20th century and depict images of disability. The use of literary narration and visual arts especially in early childhood education constitutes an alternative, interactive and effective tool in order to teach issues that are related to social phenomena, to impart the value of respect in diversity and to reinforce the value of inclusion. Teachers can help students develop an understanding of social and cultural meaning in art, and can provide students with the tools to understand their culture, by recognizing art as a cultural carrier, using a critical literacy framework. In this program, children had the chance to create their stories and to talk about diversity, to discover their senses and to express their feelings playing and learning by experience.",,
115-272-476-892-550,Retrospective Evaluation of Mothers' Opinions related to the Small Steps Early Intervention Program in Turkey,2014,"The purpose of this current study is to evaluate the Small Steps Early Intervention Program based on opinions of the mothers who participated in the program ten years ago. The participants of this study consisted of 10 mothers who had young children with disabilities participating early intervention program carried out in Turkey between 2000 and 2003. In this study, a descriptive research method was used in order to determine the mothers' opinions regarding the Small Steps Early Intervention Program. The data was collected by using semi structured in-depth interviews. In an attempt to reach detailed findings, the data of the study were analyzed inductively. The present study provides an understanding of opinions related to the Small Steps Early Intervention Program of mothers who have children with disabilities and it gives important information on the effectiveness of the program having been implemented since 1996 in Turkey. More importantly, it gives insights regarding the changes and adaptations to be done for future implementation of the SSEIP which was the first structured early intervention program aimed to meet the needs of the young children with disabilities and their parents in our country.",,
115-327-328-317-621,Study on the Effectiveness of Practicum Program Model of Pre–service Child Care Teachers for children with Disabilities,2017,,,
115-447-993-697-00X,Erratum to: Disability and vocational rehabilitation in rural settings,2017,,,
115-721-234-066-142,Pre-service Early Childhood Teachers' Inclusive Education Beliefs and Perceptions of Disability Awareness Education,2023,"<jats:p>Objectives The purpose of this study is to find out the variables that affect pre-service early childhood teachers' inclusive education beliefs and perceptions of disability awareness education, and to investigate the relationship between inclusive education beliefs and disability awareness education.; Methods An online survey was conducted on pre-service early childhood teachers in the Gwangju and Jeonnam regions on their beliefs in inclusive education and perceptions of disability awareness education. Basic statistics, t-test according to background variables, and correlation analysis were conducted on the final 179 pre-service early childhood teachers' beliefs on inclusive education and perceptions on disability awareness education.; Results First, pre-service early childhood teachers' overall inclusive education belief, inclusive expertise, inclusive cooperation, inclusive effect, and inclusive perception were found to be positive, but the inclusive will was relatively weak. There was a difference in the inclusive education belief depending on whether or not the introductory special education course was taken. It was found that the pre-service early childhood teachers' grades and their experience of interaction with children with disabilities did not have a significant effect on their inclusive education beliefs. Second, pre-service early childhood teachers perceived the need for disability awareness education as high, but their interest and confidence in disability awareness education were relatively low. Compared to the lower grades, the upper grades had higher confidence in disability awareness education, and the students who had the experience of taking introductory special education courses had a higher level of understanding of disability awareness education. Third, there was a significant correlation between the inclusive education belief, need for, understanding of, and confidence in disability awareness education. There was a correlation between interest, need, and understanding of disability awareness education, but there was no significant correlation between need and confidence in disability awareness education.; Conclusions It is necessary to further strengthen education on inclusive education and disability awareness education in the early childhood teacher training course. On the other hand, it is necessary to further strengthen the curriculum that can increase understanding of disability awareness education and increase confidence in implementation.</jats:p>",,
