Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
089-068-459-737-154,"Long COVID Discourse in Canada, the United States, and Europe: Topic Modeling and Sentiment Analysis of Twitter Data.",2024,Canada,Ahmed Ghassan Tawfiq AbuRaed; Emil Azuma Prikryl; Giuseppe Carenini; Naveed Zafar Janjua,Twitter; long COVID; public health; public perception; sentiment analysis; social media analysis; topic modeling
089-487-871-223-08X,"PO10 |  Clinical and laboratory features of long-Covid syndrome: a cross-sectional study of 1,337 Covid-19 survivors",2025,,Pantep Angchaisuksiri; Wolfram Ruf; Jeffrey Weitz; Sam Schulman; Guy A. Young; Bianca Rocca; Emma C. Hansson; Milan Milojevic; Anders Jeppsson,
090-138-428-103-753,What is the current state of research on the epidemiology of long COVID-19 or post-COVID-19?,2025,,null Tripdatabase,
090-190-796-908-692,Observations on the US working definition for Long Covid as of May 2023,2023,,Elisa Perego,
090-647-922-660-77X,Comparability of Control and Comparison Groups in Studies Assessing Long COVID.,2023,United States,Alyson Haslam; Vinay Prasad,COVID-19; control arm; long COVID; long-haulers; study design
090-751-736-732-426,Long COVID: Does SARS-CoV-2 induce lingering brain lesions?,2023,United Kingdom,Jacques Hugon,COVID-19; cognitive disorders; infections; mild cognitive impairment; neurological disorders
090-827-848-270-658,Emerging Symptoms of and Institutional Support for Students with Long COVID in Higher Education,2023,United States,Katherine Aquino; Jane Jarrow; Lisa Vance,
090-896-329-571-634,The Long-COVID Syndrome,2026,,Samuel K. McGowan; Ann M. Parker; Lekshmi Santhosh,
091-217-607-407-906,Coenzyme Q-10: a potential role in alleviating long Covid-19 symptoms,2022,,Juwalita Surapsari,
091-517-427-905-072,Long COVID as a functional somatic symptom disorder caused by abnormally precise prior expectations during Bayesian perceptual processing: A new hypothesis and implications for pandemic response.,2023,United States,Ari R Joffe; April Elliott,Bayesian predictive processing; Long-COVID; functional syndrome; mass sociogenic illness; somatic symptom disorder
091-563-892-621-240,Postacute Sequelae From SARS-CoV-2 at the University of Illinois Hospital and Clinics: An Examination of the Effects of Long COVID in an Underserved Population Utilizing Manual Extraction of Electronic Health Records.,2025,United States,John Musachia; Jon Radosta; Dirin Ukwade; Shahrukh Rizvi; Romani Wahba,Chart reviews; Long COVID; Postacute Sequelae from SARS-CoV-2; underserved
091-754-117-174-189,Mid and South Essex Long COVID Service - continuous innovation through co-production and community outreach,2025,United Kingdom,P. Hancock; R. Barlow,
092-011-417-872-64X,413. Living with Long COVID: A Study on Persistent Symptoms and Vaccination Outcomes Two Years After COVID-19 Infection,2023,United States,Yoonjung Kim; Shin-Woo Kim; Sohyun Bae; Hyun-Ha Chang,
092-016-882-755-396,Long‐COVID Disease or Long‐COVID Syndrome?,2022,,Don L. Goldenberg; Marc A. Dichter,
092-219-234-149-697,The Social and Political Contexts of Long COVID,2025,,Deborah Lupton; Gemma Carey,
092-362-045-715-997,Global Trends and Research Hotspots in Long COVID: A Bibliometric Analysis.,2022,Switzerland,Hongxia Jin; Lu Lu; Haojun Fan,bibliometric analysis; long COVID; network analysis; publication; research hotspots; research trends; social network analysis
092-529-860-079-861,Human genetics implicate thromboembolism in the pathogenesis of long COVID in individuals of European ancestry.,2024,United States,Art Schuermans; Andreas Verstraete; Vilma Lammi; Tomoko Nakanishi; Maddalena Ardissino; Jef Van den Eynde; Benjamin Sun; Marios K Georgakis; Beatriz Guillen-Guio; Louise V Wain; Christopher E Brightling; null null; Johan Van Weyenbergh; Adam J Lewandowski; Betty Raman; Hugo Zeberg; Hanna M Ollila; Stephen Burgess; Pradeep Natarajan; Michael C Honigberg; Kathleen Freson; Thomas Vanassche; Peter Verhamme,
092-705-206-968-621,Applying Lessons From Rheumatology to Better Understand Long COVID.,2023,United States,Don L Goldenberg,
093-579-664-551-219,Online search interest in long-term symptoms of coronavirus disease 2019 during the COVID-19 pandemic in Japan: Infodemiology study using the most visited search engine in Japan.,2023,United States,Kosuke Ishizuka; Taiju Miyagami; Tomoya Tsuchida; Mizue Saita; Yoshiyuki Ohira; Toshio Naito,
093-966-838-005-841,Long COVID and the development of new-onset uveitis: a large database study,2025,,Qais A. Dihan; Nayef Alshammari; Abdelrahman M. Elhusseiny; Kaersti L. Rickels; Ahmed F. Shakarchi; Muhammad Z. Chauhan; Ahmed B. Sallam,
094-086-695-575-820,Long COVID Clinical Manifestations,2023,,Lantian Wei,
094-118-630-720-242,Algorithm for predicting the risk of developing long-Covid in patients with Covid-19,2023,Spain,Andrii Voliansky; Maiia Smilianska; Tetiana Didorenko,
094-327-530-017-964,The implications of long COVID for rural communities.,2022,United States,Nathan Hale; Michael Meit; Samuel Pettyjohn; Amy Wahlquist; Matthew Loos,
094-404-138-664-477,Dealing with the impact of Long COVID on college campuses,2023,,Lisa L. Vance; Katherine C. Aquino,
094-740-038-941-345,The Impact of Long COVID on Global Public Health: Long-term Consequences and Healthcare System Preparedness,2024,,Andi Wahyudi,
094-879-606-081-686,"As a doctor with long covid, I feel abandoned by the NHS.",2023,United Kingdom,null null; null null; null null,
094-950-886-483-581,Disparities by Social Determinants of Health: Links Between Long COVID and Cardiovascular Disease.,2024,Canada,Amitava Banerjee,
095-035-405-986-792,Long COVID and Disability Justice,2024,,Sarah Clark Miller,
095-132-021-701-051,Advancing the Management of Long COVID by Integrating into Health Informatics Domain: Current and Future Perspectives.,2023,Switzerland,Radha Ambalavanan; R Sterling Snead; Julia Marczika; Karina Kozinsky; Edris Aman,COVID-19; concept map for management of long COVID; health informatics; management of long COVID; post-COVID syndrome; public health
095-161-016-373-260,Unravelling Long COVID,2022,,Don Goldenberg; Marc Dichter,
095-264-225-137-741,Long Covid,2022,,Eve Stockhammer,
095-364-596-920-389,The health impact of long COVID during the 2021-2022 Omicron wave in Australia: a quantitative burden of disease study,2022,,Samantha Howe; Joshua Szanyi; Tony Blakely,
095-765-636-569-755,Lullabies for long COVID.,2022,United Kingdom,Karen O'Leary,Clinical trials; Rehabilitation; SARS-CoV-2
095-984-575-598-260,Long COVID: a long road ahead.,2025,England,Svetlana Blitshteyn,Long COVID; autonomic dysfunction; brain health; chronic fatigue syndrome/myalgic encephalomyelitis; dysautonomia; neurology; public health
096-177-380-546-669,Covid-19 inquiry: We must not ignore the long term health impacts of covid.,2024,United Kingdom,Ondine Sherwood,
096-586-894-166-775,Health behaviours the month prior to COVID-19 infection and the development of self-reported long COVID and specific long COVID symptoms: a longitudinal analysis of 1581 UK adults.,2022,United Kingdom,Elise Paul; Daisy Fancourt,COVID-19; Health behaviours; Long COVID
096-819-485-440-141,The Long Shadow of COVID: The Impact of the COVID-19 & Long Covid on Oregon Workers,2022,,Robert Parker; Benjamin Y. Clark,
097-119-764-603-977,Long Covid collection,2022,,Robert Leaman,
097-148-793-233-189,Long COVID-19 Neurological and Psychological Claims: Assessment Guidelines,2022,,Joseph Hirsch; Steven Mandel; Les Kertay; James B. Talmage; Greg Vanickachorn; Kurt Hegmann; James Underhill; John Meyers; Christopher R. Brigham,
097-150-017-852-887,Functional disabilities and adverse well-being by COVID-19 and Long COVID history and employment status: 2022 Behavioral Risk Factor Surveillance System.,2024,United States,Sharon R Silver; Jia Li; Nicole D Ford; Sharon H Saydah,COVID‐19; Long COVID; employment status; functional disability; well‐being; COVID-19; employment; unemployment; disability; wellbeing
097-276-178-683-870,The Challenge of Long COVID: Is the Pandemic Really Over?,2025,Netherlands,Jeff Levin; Matt Bradshaw,COVID-19; SARS-CoV-2; infection; long COVID; pandemic
097-418-085-693-122,A Blood Supply Pathophysiological Microcirculatory Mechanism for the Long COVID,2024,,Aristotle G. Koutsiaris,
097-472-345-358-062,Long COVID,2022,,Luis del Carpio-Orantes,
097-595-577-403-571,Associations Of Long Covid With Aerobic And Muscle-strengthening Physical Activity: The Role Of ME And Fatigue,2025,United States,Zoe Sirotiak; Elizabeth C. Lefferts; Jacob T. Gallagher; Marian L. Kohut,
097-715-866-310-914,FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN KEJADIAN LONG COVID PADA PENINTAS COVID-19,2022,,Yudha Asy'ari,
097-744-922-406-308,The Importance of Including Long COVID Outcomes When Developing Novel Treatments for Acute COVID-19.,2024,United States,Chloe Connor; Holly A Taylor,COVID-19; clinical trials; long COVID; novel treatments; trial outcomes
097-897-647-413-26X,APPLICATION OF DATA MINING FOR PREDICTION OF LONG COVID ON COVID-19 SURVIVAL WITH FEATURE SELECTION AND NAÏVE BAYES METHOD,2022,,Siti Rokhmah; Nendy Akbar Rozaq Rais,Data Clasification; Data mining; Featture Selection; Long covid; naïve bayes Long covid; data mining; Feature selection; klasifikasi data; naïve bayes
098-513-987-048-036,Beyond the acute illness: Exploring long COVID and its impact on multiple organ systems.,2023,Hungary,Nandini Bhattacharjee; Parantap Sarkar; Tania Sarkar,SARS-CoV-2; long COVID; multiple organ systems; pandemic; post-COVID-19 conditions
098-724-682-352-395,Viewpoint | linking long Covid and AD(H)D through neuroimmune dysfunction: A translational framework proposal for precision medicine.,2025,United States,Martin Spanoghe; Tomaso Antonacci; Nicole Schneider; Thomas H J Molmans,Attention-Deficit/Hyperactivity Disorder; Brain fog; Cognitive impairments; Covid-19; Dopaminergic dysfunction; Immunopsychiatry; Kynurenine pathway; Noradrenergic dysfunction; Pathophysiological mechanisms; SARS-CoV-2
098-803-036-624-646,Long COVID Responses,2023,,Melanie Ehrlich,
098-898-710-573-719,Psychiatric and neurological complications of long COVID.,2022,United Kingdom,Jolanta B Zawilska; Katarzyna Kuczyńska,Anxiety; Cognitive deficits; Depression; Long COVID; Mental health; Post-traumatic stress disorder
098-905-426-799-908,Caring for youth in foster care: A trauma-informed practice guide.,2025,United States,,COVID-19; health practitioners; long COVID; management; postacute sequelae of SARS-CoV-2 infection; postacute COVID syndrome; risk factor; SARS-CoV-2; vaccine
099-199-817-898-234,Evaluation of virologic suppression rates during the COVID- 19 pandemic with outpatient interdisciplinary HIV care,2021,United States,Maria Sorbera; Briann Fischetti; Rebecca Khaimova; Mateusz Niewinski; Kelly Wen,adherence; collaborative practice; medication management; telehealth
099-389-227-777-181,Neurological Aspects of Long COVID-19: A Review,2021,,David Giffard Kawi Junior; Ilsa Hunaifi,Long COVID; Neurological Symptoms; COVID-19; SARS-CoV-2
099-406-260-668-907,Contextualizing Long COVID.,2025,United States,Allison N O'Donnell,infection associated chronic condition; long COVID; office of long COVID research and practice
100-185-549-987-252,Long COVID Citizen Scientists – Developing a needs-based research agenda by persons affected by Long COVID,2021,,Sarah Ziegler; Alessia Raineri; Vasileios Nittas; Natalie Rangelov; Fabian Vollrath; Chantal Britt; Milo A Puhan,
100-644-116-842-592,"Knowledge, Attitudes and Practices regarding Long-Term Complications of COVID-19 among a Sub-Urban Population in Sri Lanka",2021,,Chamindri Witharana; Kithmini Siridewa; Manuj Weerasinghe; Indika Karunathilake,long COVID; COVID 19 vaccination; COVID awareness
100-856-004-867-52X,Lower functional connectivity in areas of reduced cerebrovascular reactivity in elderly patients with long COVID,2023,,Alexander Cohen; Laura Umfleet; Malgorzata Franczak; Sara Swanson; Jessica Pommy; Mohit Agarwal; Baolian Yang; Suchandrima Banerjee; Yang Wang,
101-048-345-166-394,Long COVID,2022,,Board on Health Care Services; Health and Medicine Division; Engineering National Academies of Sciences,
101-109-984-480-028,Case Study – Fully Recovered After 3.5 Years of Long COVID,2024,,Helga Gielen,
101-358-940-205-929,"Functional Limitations and Illness-Related Absenteeism among School-Aged Children with and without Long COVID, United States, 2022-2023.",2025,United States,Nicole D Ford; Regina M Simeone; Caroline Pratt; Sharon Saydah,COVID-19; SARS; SARS-CoV-2; United States; absenteeism; children; coronavirus; coronavirus disease; disability; functional limitations; long COVID; pediatric; respiratory infections; severe acute respiratory syndrome coronavirus 2; viruses
101-534-728-155-864,"Understanding Long COVID Diagnosis, Management, and Collaboration Between Primary and Specialty Care in Colorado",2025,,Donald Nease; Elena Broaddus; Kristen Curcija; Sarah Jolley; Jodi Summers Holtrop,
101-659-630-239-970,ASHA Voices: What We're Learning About Long COVID,2022,,J.D. Gray,
101-834-177-077-824,"Long Covid: quantitative and qualitative analyses of online Long Haulers’ experiences, emotions and practices in the UK",2020,,Sam Martin; Miyake E,
102-144-365-478-439,Long COVID in children.,2022,England,Deepti Gurdasani; Athena Akrami; Valerie C Bradley; Anthony Costello; Trisha Greenhalgh; Seth Flaxman; Martin McKee; Susan Michie; Christina Pagel; Sarah Rasmussen; Gabriel Scally; Christian Yates; Hisham Ziauddeen,
102-713-033-780-460,The Effect Of Long Covid On The Relationship Between Physical Activity And Perceived Health,2024,United States,Zoe Sirotiak,
102-821-719-453-139,Corona With Lyme: A Long COVID Case Study.,2023,United States,Danielle C Thor; Sergio Suarez,covid long haul syndrome; covid-19; dysautonomia; long covid; lyme disease; me/cfs; pacs; post-covid syndrome; post-viral illness; pots
102-971-684-208-478,NEUROSTIMULATING COMPLEXES OF PHYSICAL EXERCISES TO NEUTRALIZE LONG COVID,2021,,Olga Postol; Irina Shchadilova,long COVID; alternative therapy; exercise; students Słowa kluczowe: long COVID; terapia niekonwencjonalna; ćwiczenia; studenci
103-028-752-993-80X,"A bit of a cough, tired, not very resilient – is that already Long-COVID? Perceptions and experiences of GPs with Long COVID in year three of the pandemic. A qualitative study in Austria.",2024,,Silvia Wojczewski; Mira Mayrhofer; Nathalie Szabo; Kathryn Hoffmann,Post-COVID-19 syndrome; postacute sequelae of SARS-CoV-2 infection; PACS; postinfectious disease; primary health care; semistructured interviews; post-COVID condition; family physician; family medicine
103-231-703-819-905,Latest Research in Post-COVID (Long COVID): Pathological and Treatment Studies of Sequelae and Complications,2024,,César Fernández-de-las-Peñas,
103-455-034-035-507,A clinical case of multiple predictors long-COVID-19,2022,,Olga N. Sivyakova; Elena S. Skripkina; Olga V. Voronova,
103-682-780-144-019,"Post-COVID-19 Syndrome Mechanisms, Prevention and Management.",2023,"Iran, Islamic Republic of",Majed B Najafi; Shaghayegh H Javanmard,Chronic COVID syndrome; long COVID; long haul COVID; long hauler COVID; post-acute COVID syndrome; post-acute COVID-19 syndrome
103-952-592-261-071,3.D. Workshop: An urgent need to fully understand Long Covid-19 and its sequela,2022,United Kingdom,Organised by: EUPHA-CHR; Julian Mamo Chair persons: Sarah Cuschieri,
104-053-127-559-101,Using Logistic Regression to Predict Long COVID Conditions in Chronic Patients.,2022,Netherlands,Adnan Kulenovic; Azra Lagumdzija-Kulenovic,EMR; Long COVID; chronic diseases; logistic regression; prediction
104-227-081-414-149,"Long COVID Treatment No Silver Bullets, Only a Few Bronze BBs",2026,,Robert  L Martin,
104-283-784-622-418,The Costs of Long COVID.,2022,United States,David M Cutler,
104-286-130-194-462,The cost of primary care consultations associated with long COVID in non-hospitalised adults: a retrospective cohort study using UK primary care data,2023,,Jake Tufts; Naijie Guan; Dawit Zemedikun; Anuradhaa Subramanian; Krishna Gokhale; Puja Myles; Tim Williams; Tom Marshall; Melanie Calvert; Karen Matthews; Krishnarajah Nirantharakumar; Louise Jackson; Shamil Haroon,
104-466-874-148-555,,2021,,,
104-496-490-143-613,Supporting Evidence For Pulmonary Rehabilitation in the Treatment of Long COVID.,2024,United States,Dave M Burnett,
104-598-098-461-593,"ASHA Voices: 5 Years After COVID-19 Hit, Patients With Long COVID Feel 'Left in the Dust'",2025,,J.D. Gray,
104-891-392-219-290,Genetic risk factors for severe and fatigue dominant long COVID and commonalities with ME/CFS identified by combinatorial analysis.,2023,United Kingdom,Krystyna Taylor; Matthew Pearson; Sayoni Das; Jason Sardell; Karolina Chocian; Steve Gardner,Combinatorial analytics; Long COVID; ME/CFS; PASC; POTS; Patient stratification; Post-Covid; Post-acute COVID syndrome; Post-acute sequelae of COVID-19
104-910-211-780-689,Long COVID: An approach to clinical assessment and management in primary care.,2023,South Africa,Rubeshan Perumal; Letitia Shunmugam; Kogieleum Naidoo,COVID-19; Long COVID; SARS-CoV-2.; long-haul COVID; post-acute sequelae of SARS-CoV-2; SARS-CoV-2
105-107-403-561-556,Long COVID: Assessment of Neuropsychiatric Symptoms in Children and Adolescents - A Clinical Data Analysis,2021,,Jan Froelich; Tobias Banaschewski; Annabelle Ulmer,
105-577-157-305-739,Effect of Vaccination on Long-COVID: A Comprehensive Review and Approach,2023,,Frank (D.C.) H,
105-580-436-587-393,"Review 1: ""Blood Transcriptomics Reveal Persistent SARS-CoV-2 RNA and Candidate Biomarkers in Long COVID Patients""",2024,,Slim Fourati,
105-924-108-259-32X,Experiences of people with long COVID with COVID-19 vaccination and rehabilitation - results of a qualitative study with 48 participants from Germany,2023,,Tim Schmachtenberg; Gloria Königs; Sascha Roder; Frank Müller; Christina Müllenmeister; Dominik Schröder; Iman El-Sayed,
106-004-862-022-02X,Gender and Long COVID,2025,,Kristy Riley; Sara Holton; Rebecca Corva; Krishna Vakil; Elle Def??????in; Catherine M. Bennett; Danielle Hitch,
106-154-176-281-674,Symptoms and options in rehabilitation of post-COVID-19 syndrome (long-COVID),2024,Hungary,Tünde Rita Kupovits,COVID–19; COVID–19 vaccines; COVID–19-oltások; SARS-CoV-2; long-COVID; post-COVID–19 syndrome; poszt-COVID–19-szindróma; rehabilitation; rehabilitáció
106-360-963-211-816,"Covid-19: Long covid symptoms among hospital inpatients show little improvement after a year, data suggest.",2021,United Kingdom,Ingrid Torjesen,
106-678-983-467-94X,PENINGKATAN PEMAHAMAN PENGGUNAAN VITAMIN DAN LONG COVID DI KOTA MATARAM DAN LOMBOK BARAT,2022,,Fitri Apriliany; Recta Olivia Umboro; Dedent Eka Bimmaharyanto S.,
106-970-695-387-580,The role of atherogenic index of plasma in the diagnosis long COVID,2022,,Mustafa DURAN; Ercan KURTİPEK; Mehmet Burak ÖZEN,
107-394-057-253-338,"TEKNIK LONGTAKE PADA FILM PENDEK  ""PAKET"" TERINSPIRASI DARI KEHIDUPAN MASYARAKAT DIMASA PANDEMI COVID-19",2022,,Philipus Nugroho Hari Wibowo,Long take; Pandemi Covid-19; Film Pendek; Paket Long take; Covid-19 Pandemic; Short Movie Film; Package
107-396-968-102-695,Internal tremors and vibrations in long COVID: a cross-sectional study.,2023,United States,Tianna Zhou; Mitsuaki Sawano; Adith S Arun; César Caraballo; Teresa Michelsen; Lindsay McAlpine; Bornali Bhattacharjee; Yuan Lu; Rohan Khera; Chenxi Huang; Frederick Warner; Akiko Iwasaki; Harlan M Krumholz,
107-668-298-446-718,Living with Long COVID-19: A Virtual Body Mapping Study,2025,,Sara Santarossa; Ashley Redding; Dana Murphy,
107-741-976-599-43X,"Pre-existing anxiety, depression, and neurological disability are associated with long COVID: A prospective and longitudinal cohort study of the United Kingdom Multiple Sclerosis Register",2021,,Afagh Garjani; Rodden M. Middleton; Richard Nicholas; Nikos Evangelou,
107-763-489-702-548,PD59 Review Of The International Epidemiology Of Long COVID,2024,United Kingdom,Michelle Norris; Fearghal Comaskey; Carol Mc Loughlin; Niamh Merriman; Barrie Tyner; Aislinn O'Mahony; Marie Carrigan; Patricia Harrington; Máirín Ryan; Michelle O' Neill,
107-961-881-758-156,Long COVID,2022,United States,,
108-024-675-520-112,"Post-Acute COVID 19 Syndrome, 'Long COVID'.",2023,United States,Louise C O'Keefe,COVID; COVID and employment; COVID symptoms; long COVID; workers
108-280-370-273-15X,Prevalence and characteristics in long COVID among adults with asthma in the United States.,2024,United States,Chun-Tse Hung; Yu-Chien Hung; Chi-Won Suk,COVID-19; National Health Interview Survey; asthma; long COVID; post COVID-19 condition
108-283-518-854-182,Bringing It All Together,2025,,Melanie Broadley; Sara Holton; Danielle Hitch,
109-714-430-341-831,Brain and Nervous System,2023,,Sudhir Mehta; Gaurav Jain; Varun Jain,
109-947-073-193-873,Determinants of COVID-19-Related Length of Hospital Stays and Long COVID in Ghana: A Cross-Sectional Analysis.,2022,Switzerland,Shirley Crankson; Subhash Pokhrel; Nana Kwame Anokye,COVID-19; Ghana; determinants; hospitalisation; long COVID
110-023-972-544-134,"Long COVID, Cognitive Impairment, and the Stalled Decline in Disability Rates",2022,,Brendan M. Price,
110-028-932-123-952,Can longitudinal electronic health record data identify patients at higher risk of developing long COVID?,2024,,Priya Shanmugam; Molly Bair; Emma Pendl-Robinson; Xindi C. Hu,
110-227-797-431-101,Long COVID in children.,2022,England,Sammie Mcfarland; Sara Citrenbaum; Ondine Sherwood; Vicky van der Togt; Jeremy S Rossman,
110-488-827-903-92X,Autonomic Disorders,2023,,Sławomir Kujawski; Agnieszka Kujawska; Paweł Zalewski,
110-515-189-325-424,COVID-19 booster vaccine uptake and reduced risks for long-COVID: A cross-sectional study of a U.S. adult population.,2024,Netherlands,Zhigang Xie; Sericea Stallings-Smith; Shraddha Patel; Stuart Case; Young-Rock Hong,COVID-19 boost vaccine; Comorbidity; Long-COVID
110-617-417-598-49X,US Government cuts funding for long COVID research.,2025,England,Priya Venkatesan,
110-951-235-723-329,The impact of Long COVID for disability service providers in higher education,2023,,Lisa Vance; Katherine C. Aquino,
110-963-920-603-817,Long COVID and lung thromboembolism in young adults,2024,,null Amália Cinthia Meneses do Rêgo; null Irami Araújo-Filho,
111-013-826-104-277,What Is Long Covid?,2023,,Melissa Smallwood,
111-233-642-298-729,"Design, validation and implementation of the Post-Acute (long) COVID-19 Quality of Life (PAC-19QoL) instrument in the PAC-19QoLReg patient registry",2021,,Ravi Jandhyala,COVID-19; Public Health; Quality of Life; Statistics & Research Methods
111-285-423-127-182,Editor's evaluation: Long COVID in cancer patients: preponderance of symptoms in majority of patients over long time period,2022,,Jameel Iqbal,
111-422-439-306-554,COVID-19 Vaccine Effectiveness Against Long-COVID-19 Condition in Pakistan,2024,,Asma Sabir Ali; Fraz Ahmed Baig; Siraj Ahmed Channa; Sooraj Kumar; FNU Adnan; Amna Ashraf; Ali Najam; Waheed Akhtar; Jahanzeb Malik,
111-526-437-376-272,A Longitudinal Examination of Post-COVID-19 Mortality in Residents in Long-Term Care Homes.,2024,United States,Gordana Rajlic; Janice M Sorensen; Akber Mithani,long-term care; mortality; nursing homes; post-COVID-19; survival analysis
111-626-670-988-150,Vaccines and long COVID,2025,United Kingdom,Sanjeet Bagcchi,
111-899-575-005-834,Persistent Brainstem Dysfunction in Long-COVID: A Hypothesis.,2021,United States,Shin Jie Yong,Long-COVID; brain autopsy; brainstem; coronavirus; nervous system; tropism
112-087-169-355-700,Long COVID among people with MS: A prospective and longitudinal observational study of the UK MS Register,2021,United States,Afagh Garjani; Rod Middleton; Richard Nicholas; Nikos Evangelou,
112-273-124-830-378,"Peer Review #1 of ""Long COVID active case detection initiative among COVID-19 patients in Port Dickson, Malaysia: a retrospective study on the positive outcomes, the proportion of patients with long COVID and its associated factors (v0.1)""",2023,,,
112-723-295-833-958,"Risk of long COVID in migrants and the contribution of vaccinations, disease severity, social inequalities and preexisting health: A nationwide register study in Sweden",2024,United Kingdom,A Cederstrom; M Rostila,
113-496-439-491-192,Covid-19: WHO urges action as 17 million long covid cases are estimated in Europe.,2022,United Kingdom,Jacqui Wise,
113-622-289-496-696,Long COVID brain fog and muscle pain are associated with longer time to clearance of SARS-CoV-2 RNA from the upper respiratory tract during acute infection.,2023,United States,Annukka A R Antar; Tong Yu; Zoe O Demko; Chen Hu; Jeffrey A Tornheim; Paul W Blair; David L Thomas; Yukari C Manabe; null null,COVID-19; Long COVID; Post-Acute COVID-19 Syndrome; Post-Acute Sequelae of SARS-CoV-2 infection; Brain fog; Cognitive Dysfunction; Pain; Reservoir
113-676-278-762-93X,Decision letter: Long COVID in cancer patients: preponderance of symptoms in majority of patients over long time period,2022,,Nawale Hajjaji,
114-121-292-285-807,The Way Forward,2022,,Don L. Goldenberg; Marc A. Dichter,
114-237-223-938-418,Breaking through the noise: how to unveil the cognitive impact of long COVID on pre-existing conditions with executive dysfunctions?,2024,Switzerland,Caroline Jose,Patient-oriented Research; cognitive sequelae; executive dysfunctions; long COVID; neurodevelopmental conditions; pre-existing cognitive impairment
114-886-846-389-072,"Covid-19: Vaccinated people are less likely to get long covid, review finds.",2022,United Kingdom,Elisabeth Mahase,
114-975-212-520-109,Long COVID and Perimenopause,2024,India,Savita Somalwar; Prabhat Agrawal; Prashant Gupta; Ruchika Garg,
115-015-219-807-338,PENYULUHAN TENTANG GEJALA LONG COVID BAGI PETUGAS KESEHATAN DI KLINIK ATLANTIS KOMPLEKS MMTC DELI SERDANG,2021,,Saiful Batubara; Julahir Hotmatua Siregar,
115-057-056-024-755,Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,2023,,Degan Hao; Mohammadreza Negahdar,
115-425-910-274-726,Unveiling the Link between long COVID-19 and Fibromyalgia,2025,,Sidrah Parvez; Ghizal Fatima,
115-546-692-254-612,Exploring the Emotional and Mental Well-Being of Individuals with Long COVID Through Twitter Analysis,2023,,Guocheng Feng; Huaiyu Cai; Wei Quan,
115-941-741-249-837,Association between Long-COVID and Migraine: Insights From a Global Health Network Database,2026,,Nicole Lulkin; Thomas Chelimsky; Patrick Shi; Patricia Kinser; Le Kang; Gisela Chelimsky,
115-960-986-908-312,Searching for Etiopathophysiological Links for 'Long Covid',2021,,Nikhra V,
116-218-606-071-064,Is the vaccine for COVID-19 effective in preventing and treating long COVID?,2022,,Stephen Kim; Hyun Kang,
116-311-880-447-032,"The contested meaning of “long COVID” – Patients, doctors, and the politics of subjective evidence",2021,United Kingdom,Phillip H. Roth; Gadebusch Bondio Mariacarla,COVID-19; Chronic fatigue syndrome; Co-production; Illness experience; Patient knowledge; Social media; Social movements; Subjective evidence
116-373-211-264-689,Long Covid: a long story,2026,France,Ilana Löwy,
116-557-119-699-803,Developing services for long Covid: lessons from a study of wounded healers,2020,,Emma Ladds; Alex Rushforth; Sietse Wieringa; Stephanie Taylor; Clare Rayner; Laiba Husain; Trisha Greenhalgh,Post-acute Covid-19; Chronic Covid-19; long Covid; qualitative study; new service model; quality standards
117-054-998-252-523,Long COVID and cognition.,2023,United Kingdom,François Chollet; Jean-Marc Leger,cognition; cognitive deficits; long COVID
117-371-857-880-816,Consider emerging law and policy issues on Long COVID and disability,2022,,Joan Hope,
117-897-573-681-838,A glimpse into Long COVID characteristics and the mental health impact within a highly vaccinated population: a Malta observational study.,2023,Italy,Sarah Cuschieri; Stephan Grech; Victor Grech,
117-926-106-940-052,The impacts of long COVID across OECD countries,2024,,Ana Belén Espinosa-González; Elina Suzuki,
118-252-159-824-168,Immunological dysfunction and mast cell activation syndrome in long COVID.,2023,Netherlands,Stevent Sumantri; Iris Rengganis,COVID-19; Long COVID; MCAS; Mast cells
118-393-712-800-831,Autoantibodies in long COVID: a systematic review.,2025,United Kingdom,Fabian Wilhelm; Janne Cadamuro; Sylvia Mink,
118-618-531-887-231,Cognitive-Linguistic Difficulties in Adults with Long Covid,2022,,Louise Cummings,
118-725-283-891-971,"US Survey: About 7% of Adults, 1% of Children Have Had Long COVID.",2023,United States,Emily Harris,
119-021-769-998-868,Long COVID risk and severity after COVID-19 infections and reinfections in Quebec healthcare workers,2025,,Sara Carazo; Manale Ouakki; Nektaria Nicolakakis; Emilia Liana Falcone; Danuta M Skowronski; Marie-José Durand; Marie-France Coutu; Simon Décary; Isaora Z Dialahy; Olivia Drescher; Elisabeth Canitrot; Carrie Anna McGinn; Philippe Latouche; Robert Laforce; Clemence Dallaire; Geoffroy Denis; Alain Piché; Gaston De Serres,
119-049-307-761-828,HUBUNGAN LONG COVID-19 DENGAN KEJADIAN KECEMASAN DI BANYUMAS,2022,,Fauziyyah Shofura Yasmin; Hilma Paramita; Nurlaela Nurlaela,
119-141-406-404-852,Antidepressant treatment initiation among children and adolescents with acute versus long COVID: a large retrospective cohort study.,2024,United Kingdom,Phuong Tm Tran; Alejandro Amill-Rosario; Susan dosReis,Antidepressant medications; COVID-19; Child and adolescent; Mental health; Mood; Post-acute COVID-19 syndrome; Psychopharmacology
